GfK_Key,NB_NR,Product_Segment,Vendor,Model,CPU_G,GPU_G2,K_Unit,Current_OB_Key,Current_Status,Confirmed_OB_Key,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5
HP ENVY X360 Core Ultra 7 GMA,NB,Flip,HP,ENVY X360,Core Ultra 7,GMA,319.19799,HP Envy x360 Intel Core Ultra 7 155U Intel Graphics,Auto-Mapped,HP Envy x360 Intel Core Ultra 7 155U Intel Graphics (88),HP Envy x360 Intel Core Ultra 7 155U Intel Graphics (88),,,,
HP ENVY X360 Ryzen 5 AMD Oth.,NB,Flip,HP,ENVY X360,Ryzen 5,AMD Oth.,194.98617,HP Envy x360 AMD Ryzen 5 8640HS AMD Radeon 760M,Auto-Mapped,HP Envy x360 AMD Ryzen 5 8640HS AMD Radeon 760M (86),HP Envy x360 AMD Ryzen 5 8640HS AMD Radeon 760M (86),,,,
HP ENVY X360 Ryzen 7 AMD Oth.,NB,Flip,HP,ENVY X360,Ryzen 7,AMD Oth.,169.95964,HP Envy x360 AMD Ryzen 7 5825U AMD Radeon,Auto-Mapped,HP Envy x360 AMD Ryzen 7 5825U AMD Radeon (86),HP Envy x360 AMD Ryzen 7 5825U AMD Radeon (86),,,,
HP OMNIBOOK X FLIP Core Ultra 7 ARC,NB,Flip,HP,OMNIBOOK X FLIP,Core Ultra 7,ARC,243.202,HP OmniBook 7 Flip Intel Core Ultra 7 258V,Auto-Mapped,HP OmniBook X Flip Intel Core Ultra 7 256V Intel Arc Graphics 140V (95),HP OmniBook X Flip Intel Core Ultra 7 256V Intel Arc Graphics 140V (95),,,,
LENOVO YOGA 7 Core Ultra 7 GMA,NB,Flip,LENOVO,YOGA 7,Core Ultra 7,GMA,456.32436,Lenovo Yoga 7 Intel Core Ultra 7 256V Intel Arc Graphics 140V,Manual,Lenovo Yoga 7 Intel Core Ultra 7 256V Intel Arc Graphics 140V,,,,,
APPLE MACBOOK PRO Apple M Apple I GPU,NB,Proart,APPLE,MACBOOK PRO,Apple M,Apple I GPU,4408.59472,Apple MacBook Pro Apple M5 Apple 10-Core GPU,Auto-Mapped,Apple MacBook Pro Apple M5 Apple 10-Core GPU (89),Apple MacBook Pro Apple M5 Apple 10-Core GPU (89),Apple MacBook Pro Apple M5 Pro Apple 16-Core GPU (87),Apple MacBook Pro - M5 Apple M5 Apple 10-Core GPU (87),Apple MacBook Pro - M4 Apple M4 Apple 10-Core GPU (87),Apple MacBook Pro - M5 Apple M5 Max Apple 32-Core GPU (87)
ASUS VIVOBOOK PRO Core Ultra 7 RTX 3050,NB,Proart,ASUS,VIVOBOOK PRO,Core Ultra 7,RTX 3050,36.386,,No-Match-Confirmed,,,Asus V16 Intel Core 7 240H Nvidia GeForce RTX 3050 (89) [LINE!],,,
ASUS VIVOBOOK PRO Core Ultra 9 RTX 3050,NB,Proart,ASUS,VIVOBOOK PRO,Core Ultra 9,RTX 3050,38.111,,No-Match-Confirmed,,,,,,
LENOVO YOGA Core Ultra 9 RTX 4050,NB,Proart,LENOVO,YOGA,Core Ultra 9,RTX 4050,42.044,,No-Match-Confirmed,,,,,,
SAMSUNG GALAXY PRO 360 Core Ultra 7 ARC,NB,Proart,SAMSUNG,GALAXY PRO 360,Core Ultra 7,ARC,33.69223,Samsung Galaxy Book4 Pro OLED Intel Core Ultra 7 155H Intel ARC Graphics,Auto-Mapped,Samsung Galaxy Book5 360 Intel Core Ultra 7 256V Intel Arc Graphics 140V (90),,,,Samsung Galaxy Book5 360 Intel Core Ultra 7 256V Intel Arc Graphics 140V (90),
DELL INSPIRON 3 Core I5 Intel Iris,NB,Vivobook,DELL,INSPIRON 3,Core I5,Intel Iris,454.49689,Dell Inspiron 3520 Intel Core i5 1235U Intel Iris Xe Graphics,Auto-Mapped,Dell Inspiron 3520 Intel Core i5 1235U Intel Iris Xe Graphics,Dell Inspiron 3520 Intel Core i5 1235U Intel Iris Xe Graphics (92),,,Dell Inspiron 3000 Intel Core i5 1335U Intel Iris Xe Graphics (92),
HP HP Core I3 GMA,NB,Vivobook,HP,HP,Core I3,GMA,888.85778,HP HP 17 Intel Core i3 1215U Intel UHD Graphics,Manual-Fixed,HP HP 17 Intel Core i3 1215U Intel UHD Graphics,,HP ProBook 4 Qualcomm Snapdragon X Plus X1P-64-100 Qualcomm Adreno (86) [CPU/GPU!],,,
HP HP Core I5 Intel Iris,NB,Vivobook,HP,HP,Core I5,Intel Iris,958.02288,HP - Intel Core i5 1335U Intel Iris Xe Graphics,Auto-Mapped,HP - Intel Core i5 1335U Intel Iris Xe Graphics,HP - Intel Core i5 1335U Intel Iris Xe Graphics (95),,,HP HP 15 Intel Core i5 1235U (90),HP HP 15 Intel Core i5 1334U Intel Graphics (88)
HP HP Core I7 Intel Iris,NB,Vivobook,HP,HP,Core I7,Intel Iris,702.60243,HP HP 15 Intel Core i7 Intel Iris Xe Graphics,Auto-Mapped,HP HP 15 Intel Core i7 Intel Iris Xe Graphics,HP HP 15 Intel Core i7 Intel Iris Xe Graphics (90),HP HP 17 Intel Core i7 1355U (90),,,
LENOVO IDEAPAD SLIM 3 Ryzen 7 AMD Oth.,NB,Vivobook,LENOVO,IDEAPAD SLIM 3,Ryzen 7,AMD Oth.,386.08522,Lenovo IdeaPad Slim 3 AMD Ryzen 7 5825U AMD Radeon,Auto-Mapped,Lenovo IdeaPad Slim 3 AMD Ryzen 7 5825U AMD Radeon,Lenovo IdeaPad Slim 3 AMD Ryzen 7 5825U AMD Radeon (89),,,,
HP HP Celeron GMA,NB,Vivobook Go,HP,HP,Celeron,GMA,2401.3298,HP HP 14 Intel Celeron N4500 Intel UHD Graphics,Manual-Fixed,HP HP 14 Intel Celeron N4500 Intel UHD Graphics,HP HP 17 (90),,,,
HP HP Core I3 GMA,NB,Vivobook Go,HP,HP,Core I3,GMA,848.3332,HP HP 17 Intel Core i3 1215U Intel UHD Graphics,Manual-Fixed,HP HP 17 Intel Core i3 1215U Intel UHD Graphics,HP HP 17 (90),,,,
HP HP Pentium GMA,NB,Vivobook Go,HP,HP,Pentium,GMA,2226.20517,HP HP 17 Intel Pentium Silver N6000 Intel UHD Graphics,Manual-Fixed,HP HP 17 Intel Pentium Silver N6000 Intel UHD Graphics,HP HP 17 (90),,,,
HP HP Ryzen 5 AMD Oth.,NB,Vivobook Go,HP,HP,Ryzen 5,AMD Oth.,727.27006,HP HP 15 AMD Ryzen 5 7520U AMD Radeon,Manual-Fixed,HP HP 15 AMD Ryzen 5 7520U AMD Radeon,HP HP 17 (90),HP HP 15 AMD Ryzen 5 5500U (90),,,
LENOVO IDEAPAD 1 Ryzen 5 AMD Oth.,NB,Vivobook Go,LENOVO,IDEAPAD 1,Ryzen 5,AMD Oth.,401.881,Lenovo IdeaPad 1 AMD Ryzen 5 5500U AMD Radeon,Auto-Mapped,Lenovo IdeaPad 1 AMD Ryzen 5 5500U AMD Radeon,Lenovo IdeaPad 1 AMD Ryzen 5 5500U AMD Radeon (88),,,,
