GfK_Key,OB_Key,Score,Status
LENOVO IDEAPAD SLIM 5 Core 7 GMA,Lenovo IdeaPad Slim 5i Intel Core 7 150U Intel Graphics,72.0,Manual
ASUS ROG ZEPHYRUS Ryzen 9 RTX 4070,Asus ROG Zephyrus G14 AMD Ryzen 9 8945HS Nvidia GeForce RTX 4070,100.0,Reviewed-MultiSpec
HP ENVY X360 Core Ultra 7 GMA,Hp Envy x360 Intel Core Ultra 7 155U Intel Graphics,100.0,Reviewed-MultiSpec
ASUS ROG ZEPHYRUS Core I7 RTX 4070,,0.0,No-Match-Confirmed
MSI THIN Core I5 RTX 2050,Msi Thin Intel Core i5 12450H Nvidia GeForce RTX 2050,100.0,Reviewed-MultiSpec
MSI THIN Core I5 RTX 2050,Msi Thin GF Series Intel Core i5 12450H Nvidia GeForce RTX 2050,100.0,Reviewed-MultiSpec
ASUS ROG ZEPHYRUS Ryzen 9 RTX 4060,,0.0,No-Match-Confirmed
HP ENVY X360 Ryzen 5 AMD Oth.,Hp Envy x360 AMD Ryzen 5 8640HS AMD Radeon 760M,100.0,Reviewed-MultiSpec
MSI CYBORG Core I5 RTX 2050,Msi Cyborg Intel Core i5 12450H Nvidia GeForce RTX 2050,100.0,Reviewed-MultiSpec
MSI CYBORG Core I5 RTX 2050,Msi Cyborg Intel Core i5 13420H Nvidia GeForce RTX 2050,100.0,Reviewed-MultiSpec
HP VICTUS Ryzen 5 AMD R9-RX,Hp Victus AMD Ryzen 5 7535HS AMD Radeon RX 6550M,100.0,Reviewed-MultiSpec
HP OMEN 16 Core I7 RTX 4060,Hp Omen Intel Core i7 14700HX Nvidia GeForce RTX 4060,100.0,Reviewed-MultiSpec
HP OMEN 16 Core I7 RTX 4060,Hp Omen Intel Core i7 14650HX Nvidia GeForce RTX 4060,100.0,Reviewed-MultiSpec
HP OMEN 16 Core I7 RTX 4060,Hp Omen Intel Core i7 13620H Nvidia GeForce RTX 4060,100.0,Reviewed-MultiSpec
DELL INSPIRON 3 Core I5 Intel Iris,Dell Inspiron 3520 Intel Core i5 1235U Intel Iris Xe Graphics,100.0,Reviewed-MultiSpec
DELL INSPIRON 3 Core I5 Intel Iris,Dell Inspiron 3000 Intel Core i5 1155G7 Intel Iris Xe Graphics,100.0,Reviewed-MultiSpec
DELL INSPIRON 3 Core I5 Intel Iris,Dell Latitude 3000 Intel Core i5 1345U Intel Iris Xe Graphics,100.0,Reviewed-MultiSpec
LENOVO YOGA Core Ultra 9 RTX 4050,,0.0,No-Match-Confirmed
