Sheet_Name,GfK_Key
HP VICTUS Ryzen 7 RTX 4050,HP VICTUS Ryzen 7 RTX 4050
HP VICTUS Core I5 RTX 4050,HP VICTUS Core I5 RTX 4050
HP VICTUS Core I5 RTX 3050,HP VICTUS Core I5 RTX 3050
HP HP Core I7 Intel Iris,HP HP Core I7 Intel Iris
APPLE MACBOOK PRO Apple M Apple,APPLE MACBOOK PRO Apple M Apple I GPU
HP OMEN 16 Ryzen 9 RTX 5060,HP OMEN 16 Ryzen 9 RTX 5060
ACER PREDATOR HELIOS Core Ultra,ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti
APPLE MACBOOK NEO Apple A zther,APPLE MACBOOK NEO Apple A zthers
HP OMNIBOOK 5 Core Ultra 7 GMA,HP OMNIBOOK 5 Core Ultra 7 GMA
HP OMNIBOOK 5 Ryzen 7 AI AMD Ot,HP OMNIBOOK 5 Ryzen 7 AI AMD Oth.
SAMSUNG GALAXY BOOK Core 7 GMA,SAMSUNG GALAXY BOOK Core 7 GMA
LENOVO IDEAPAD 1 Ryzen 5 AMD Ot,LENOVO IDEAPAD 1 Ryzen 5 AMD Oth.
HP HP Core I3 GMA,HP HP Core I3 GMA
LENOVO YOGA 7 Core Ultra 7 GMA,LENOVO YOGA 7 Core Ultra 7 GMA
HP OMNIBOOK X FLIP Core Ultra 7,HP OMNIBOOK X FLIP Core Ultra 7 ARC
LENOVO IDEAPAD SLIM 3 Ryzen 7 A,LENOVO IDEAPAD SLIM 3 Ryzen 7 AMD Oth.
HP HP Ryzen 5 AMD Oth.,HP HP Ryzen 5 AMD Oth.
HP HP Pentium GMA,HP HP Pentium GMA
HP HP Celeron GMA,HP HP Celeron GMA
HP HP Core I5 Intel Iris,HP HP Core I5 Intel Iris
APPLE MACBOOK AIR Apple M Apple,APPLE MACBOOK AIR Apple M Apple I GPU
MICROSOFT SURFACE LAPTOP X Plus,MICROSOFT SURFACE LAPTOP X Plus zthers
MICROSOFT SURFACE LAPTOP X Elit,MICROSOFT SURFACE LAPTOP X Elite zthers
HP HP Core I3 GMA_1,HP HP Core I3 GMA
ACER NITRO V Ryzen 7 RTX 4050,ACER NITRO V Ryzen 7 RTX 4050
ASUS VIVOBOOK RTX Core 7 RTX 40,ASUS VIVOBOOK RTX Core 7 RTX 4050
LENOVO IDEAPAD SLIM 5 Ryzen 7 A,LENOVO IDEAPAD SLIM 5 Ryzen 7 AI AMD Oth.
ACER NITRO V Ryzen 5 RTX 3050,ACER NITRO V Ryzen 5 RTX 3050
ACER NITRO V Core I7 RTX 5060,ACER NITRO V Core I7 RTX 5060
MSI CYBORG Core I7 RTX 5070,MSI CYBORG Core I7 RTX 5070
DELL DELL Ryzen 7 AMD Oth.,DELL DELL Ryzen 7 AMD Oth.
DELL DELL Core I5 Intel Iris,DELL DELL Core I5 Intel Iris
LENOVO LOQ Ryzen 5 RTX 4050,LENOVO LOQ Ryzen 5 RTX 4050
LENOVO LEGION 5 Core Ultra 9 RT,LENOVO LEGION 5 Core Ultra 9 RTX 5060
ASUS ROG ZEPHYRUS Ryzen 9 RTX 5,ASUS ROG ZEPHYRUS Ryzen 9 RTX 5060
HP OMEN SLIM 16 Core Ultra 9 RT,HP OMEN SLIM 16 Core Ultra 9 RTX 5070
ASUS ROG ZEPHYRUS Ryzen 9 AI RT,ASUS ROG ZEPHYRUS Ryzen 9 AI RTX 5070 Ti
LENOVO LEGION 7 Core Ultra 7 RT,LENOVO LEGION 7 Core Ultra 7 RTX 5060
LENOVO LEGION 5 PRO Core Ultra ,LENOVO LEGION 5 PRO Core Ultra 9 RTX 5070
ASUS ROG STRIX Ryzen 9 RTX 5070,ASUS ROG STRIX Ryzen 9 RTX 5070
LENOVO IDEAPAD PRO Core Ultra 9,LENOVO IDEAPAD PRO Core Ultra 9 RTX 5050
ASUS PROART Ryzen 9 AI RTX 5070,ASUS PROART Ryzen 9 AI RTX 5070
ASUS ROG FLOW Ryzen AI Max+ AMD,ASUS ROG FLOW Ryzen AI Max+ AMD Oth.
LENOVO YOGA Core Ultra 9 RTX 50,LENOVO YOGA Core Ultra 9 RTX 5050
HP OMNIBOOK 5 Core 7 GMA,HP OMNIBOOK 5 Core 7 GMA
LENOVO YOGA 7 Ryzen 7 AI AMD Ot,LENOVO YOGA 7 Ryzen 7 AI AMD Oth.
LENOVO YOGA 7 Ryzen 5 AI AMD Ot,LENOVO YOGA 7 Ryzen 5 AI AMD Oth.
LENOVO LEGION 5 PRO Ryzen 7 RTX,LENOVO LEGION 5 PRO Ryzen 7 RTX 5060
LENOVO LEGION 7 Core Ultra 9 RT,LENOVO LEGION 7 Core Ultra 9 RTX 5070
HP OMNIBOOK 7 Core Ultra 7 ARC,HP OMNIBOOK 7 Core Ultra 7 ARC
HP OMNIBOOK 5 X Plus zthers,HP OMNIBOOK 5 X Plus zthers
