GfK_Key,Vendor (Rank),Model (G1),First_Seen,Last_Seen,Product_Segment,CPU G,GPU G2,DRAM (GB),K Unit,Is_Current,NB_NR,Vendor,Model,CPU_G,GPU_G2,K_Unit,Seg_Share_Pct,Seg_Total_KUnit
APPLE MACBOOK AIR,APPLE,MACBOOK AIR,2026-07,2026-07,,,,,,False,,,,,,,,
ASUS VIVOBOOK RTX Core 7 RTX 4050,ASUS,VIVOBOOK RTX,2026-07,2026-07,Vivobook Rtx,Core 7,RTX 4050,16 GB,4.05378,True,NR,ASUS,VIVOBOOK RTX,Core 7,RTX 4050,1.37154,11.39,
ACER NITRO V Ryzen 7 RTX 4050,ACER,NITRO V,2026-07,2026-07,Vivobook Rtx,Ryzen 7,RTX 4050,16 GB,4.94423,True,NR,ACER,NITRO V,Ryzen 7,RTX 4050,1.29215,10.73,
LENOVO YOGA 7,LENOVO,YOGA 7,2026-07,2026-07,FLIP,,,,,False,,,,,,,,
HUAWEI MATEBOOK 14,HUAWEI,MATEBOOK 14,2026-07,2026-07,Zenbook,,,,,False,,,,,,,,
HP HP,HP,HP,2026-07,2026-07,,,,,,False,,,,,,,,
ASUS VIVOBOOK,ASUS,VIVOBOOK,2026-07,2026-07,,,,,,False,,,,,,,,
HP ENVY X360 Core Ultra 7 GMA,HP,ENVY X360,2026-07,2026-07,Flip,Core Ultra 7,GMA,16 GB,,False,NB,HP,ENVY X360,Core Ultra 7,GMA,319.19799,6.43,
APPLE MACBOOK PRO,APPLE,MACBOOK PRO,2026-07,2026-07,,,,,,False,,,,,,,,
HP HP Core I3 GMA,HP,HP,2026-07,2026-07,Vivobook,Core I3,GMA,8 GB,,True,NB,HP,HP,Core I3,GMA,888.85778,10.74,
MICROSOFT SURFACE LAPTOP X Elite zthers,,,2026-07,2026-07,Zenbook,,,,,True,NB,MICROSOFT,SURFACE LAPTOP,X Elite,zthers,17.43276,0.73,14934.43491
SAMSUNG GALAXY BOOK,SAMSUNG,GALAXY BOOK,2026-07,2026-07,Vivobook S,,,,,False,,,,,,,,
HP PAVILION,HP,PAVILION,2026-07,2026-07,Vivobook S,,,,,False,,,,,,,,
LENOVO IDEAPAD SLIM 5,LENOVO,IDEAPAD SLIM 5,2026-07,2026-07,Vivobook S,,,,,False,,,,,,,,
LENOVO XIAOXIN PRO 14,LENOVO,XIAOXIN PRO 14,2026-07,2026-07,Vivobook S,,,,,False,,,,,,,,
ASUS ZENBOOK,ASUS,ZENBOOK,2026-07,2026-07,Zenbook,,,,,False,,,,,,,,
LENOVO IDEAPAD SLIM 3,LENOVO,IDEAPAD SLIM 3,2026-07,2026-07,,,,,,False,,,,,,,,
MI REDMI Core I5 GMA,MI,REDMI,2026-07,2026-07,Vivobook S,Core I5,GMA,16 GB,,False,,,,,,,,
MICROSOFT SURFACE LAPTOP X Plus zthers,MICROSOFT,SURFACE LAPTOP,2026-07,2026-07,Zenbook,X Plus,zthers,16 GB,215.40273,True,NB,MICROSOFT,SURFACE LAPTOP,X Plus,zthers,32.39523,1.37,
ASUS VIVOBOOK GO,ASUS,VIVOBOOK GO,2026-07,2026-07,,,,,,False,,,,,,,,
ACER ASPIRE,ACER,ASPIRE,2026-07,2026-07,,,,,,False,,,,,,,,
DELL INSPIRON 3,DELL,INSPIRON 3,2026-07,2026-07,,,,,,False,,,,,,,,
HP ENVY X360,HP,ENVY X360,2026-07,2026-07,FLIP,,,,,False,,,,,,,,
MSI THIN,MSI,THIN,2026-07,2026-07,Vivobook RTX,,,,,False,,,,,,,,
HP OMNIBOOK X FLIP,HP,OMNIBOOK X FLIP,2026-07,2026-07,FLIP,,,,,False,,,,,,,,
DELL INSPIRON 7,DELL,INSPIRON 7,2026-07,2026-07,FLIP,,,,,False,,,,,,,,
HP PAV X360,HP,PAV X360,2026-07,2026-07,FLIP,,,,,False,,,,,,,,
ASUS VIVOBOOK PRO,ASUS,VIVOBOOK PRO,2026-07,2026-07,ProArt,,,,,False,,,,,,,,
MSI THIN Core I5 RTX 2050,MSI,THIN,2026-07,2026-07,Vivobook Rtx,Core I5,RTX 2050,16 GB,3.991,False,NR,MSI,THIN,Core I5,RTX 2050,4.589,5.15,
LENOVO IDEAPAD 1,LENOVO,IDEAPAD 1,2026-07,2026-07,,,,,,False,,,,,,,,
ASUS PROART,ASUS,PROART,2026-07,2026-07,ProArt,,,,,False,,,,,,,,
LENOVO YOGA,LENOVO,YOGA,2026-07,2026-07,ProArt,,,,,False,,,,,,,,
LENOVO IDEAPAD SLIM 5 Ryzen 7 AI AMD Oth.,,,2026-07,2026-07,Vivobook S,,,,,True,NB,LENOVO,IDEAPAD SLIM 5,Ryzen 7 AI,AMD Oth.,11.347080000000002,6.36,178.43178
ACER NITRO V Ryzen 5 RTX 3050,,,2026-07,2026-07,Vivobook Rtx,,,,,True,NR,ACER,NITRO V,Ryzen 5,RTX 3050,0.7681800000000001,6.38,12.04584
ACER NITRO V Core I7 RTX 5060,,,2026-07,2026-07,Vivobook Rtx,,,,,True,NR,ACER,NITRO V,Core I7,RTX 5060,0.90313,7.5,12.04584
MSI CYBORG Core I7 RTX 5070,,,2026-07,2026-07,Vivobook Rtx,,,,,True,NR,MSI,CYBORG,Core I7,RTX 5070,1.7690000000000001,14.69,12.04584
DELL DELL Ryzen 7 AMD Oth.,,,2026-07,2026-07,Vivobook,,,,,True,NB,DELL,DELL,Ryzen 7,AMD Oth.,47.364,4.44,1067.83323
DELL DELL Core I5 Intel Iris,,,2026-07,2026-07,Vivobook,,,,,True,NB,DELL,DELL,Core I5,Intel Iris,107.242,10.04,1067.83323
LENOVO LOQ Ryzen 5 RTX 4050,,,2026-07,2026-07,Tuf Gaming,,,,,True,NR,LENOVO,LOQ,Ryzen 5,RTX 4050,16.353,8.77,186.44037
LENOVO LEGION 5 Core Ultra 9 RTX 5060,,,2026-07,2026-07,Tuf Gaming,,,,,True,NR,LENOVO,LEGION 5,Core Ultra 9,RTX 5060,16.523,8.86,186.44037
ASUS ROG ZEPHYRUS Ryzen 9 RTX 5060,,,2026-07,2026-07,Rog Zephyrus,,,,,True,NR,ASUS,ROG ZEPHYRUS,Ryzen 9,RTX 5060,4.327999999999999,9.14,47.33031
HP OMEN SLIM 16 Core Ultra 9 RTX 5070,,,2026-07,2026-07,Rog Zephyrus,,,,,True,NR,HP,OMEN SLIM 16,Core Ultra 9,RTX 5070,4.982,10.53,47.33031
ASUS ROG ZEPHYRUS Ryzen 9 AI RTX 5070 Ti,,,2026-07,2026-07,Rog Zephyrus,,,,,True,NR,ASUS,ROG ZEPHYRUS,Ryzen 9 AI,RTX 5070 Ti,5.577,11.78,47.33031
LENOVO LEGION 7 Core Ultra 7 RTX 5060,,,2026-07,2026-07,Rog Zephyrus,,,,,True,NR,LENOVO,LEGION 7,Core Ultra 7,RTX 5060,6.93436,14.65,47.33031
LENOVO LEGION 5 PRO Core Ultra 9 RTX 5070,,,2026-07,2026-07,Rog Strix,,,,,True,NR,LENOVO,LEGION 5 PRO,Core Ultra 9,RTX 5070,7.452,5.68,131.10934
SAMSUNG GALAXY PRO 360,SAMSUNG,GALAXY PRO 360,2026-07,2026-07,ProArt,,,,,False,,,,,,,,
ASUS ROG STRIX Ryzen 9 RTX 5070,,,2026-07,2026-07,Rog Strix,,,,,True,NR,ASUS,ROG STRIX,Ryzen 9,RTX 5070,7.708089999999999,5.88,131.10934
LENOVO IDEAPAD PRO Core Ultra 9 RTX 5050,,,2026-07,2026-07,Proart,,,,,True,NB,LENOVO,IDEAPAD PRO,Core Ultra 9,RTX 5050,3.668,0.59,624.43221
ASUS PROART Ryzen 9 AI RTX 5070,,,2026-07,2026-07,Proart,,,,,True,NB,ASUS,PROART,Ryzen 9 AI,RTX 5070,3.738,0.6,624.43221
ASUS ROG FLOW Ryzen AI Max+ AMD Oth.,,,2026-07,2026-07,Proart,,,,,True,NB,ASUS,ROG FLOW,Ryzen AI Max+,AMD Oth.,3.7880000000000003,0.61,624.43221
LENOVO YOGA Core Ultra 9 RTX 5050,,,2026-07,2026-07,Proart,,,,,True,NB,LENOVO,YOGA,Core Ultra 9,RTX 5050,6.5,1.04,624.43221
HP OMNIBOOK 5 Core 7 GMA,,,2026-07,2026-07,Flip,,,,,True,NB,HP,OMNIBOOK 5,Core 7,GMA,32.565,6.78,480.30141000000003
LENOVO YOGA 7 Ryzen 7 AI AMD Oth.,,,2026-07,2026-07,Flip,,,,,True,NB,LENOVO,YOGA 7,Ryzen 7 AI,AMD Oth.,41.257000000000005,8.59,480.30141000000003
LENOVO YOGA 7 Ryzen 5 AI AMD Oth.,,,2026-07,2026-07,Flip,,,,,True,NB,LENOVO,YOGA 7,Ryzen 5 AI,AMD Oth.,43.90824,9.14,480.30141000000003
ASUS ZENBOOK Core Ultra 7 ARC,,,2026-07,2026-07,Zenbook,,,,,False,NB,ASUS,ZENBOOK,Core Ultra 7,ARC,96.17167,0.64,14934.43491
MSI CYBORG,MSI,CYBORG,2026-07,2026-07,Vivobook RTX,,,,,False,,,,,,,,
APPLE MACBOOK NEO,APPLE,MACBOOK NEO,2026-07,2026-07,Zenbook,,,,,False,,,,,,,,
LG LG GRAM,LG,LG GRAM,2026-07,2026-07,Zenbook,,,,,False,,,,,,,,
MSI THIN Core I5 RTX 4050,MSI,THIN,2026-07,2026-07,Vivobook RTX,Core I5,RTX 4050,16 GB,,False,,,,,,,,
HUAWEI MATEBOOK D,HUAWEI,MATEBOOK D,2026-07,2026-07,,,,,,False,,,,,,,,
LENOVO LEGION 5 PRO Ryzen 7 RTX 5060,,,2026-07,2026-07,Rog Strix,,,,,True,NR,LENOVO,LEGION 5 PRO,Ryzen 7,RTX 5060,9.13007,6.96,131.10934
APPLE MACBOOK AIR Apple M Apple I GPU,APPLE,MACBOOK AIR,2026-07,2026-07,Zenbook,Apple M,Apple I GPU,16 GB,,True,NB,APPLE,MACBOOK AIR,Apple M,Apple I GPU,1362.53649,57.41,
LENOVO XIAOXIN PRO 16 Core Ultra 5 ARC,LENOVO,XIAOXIN PRO 16,2026-07,2026-07,Vivobook S,Core Ultra 5,ARC,32 GB,,False,,,,,,,,
ACER ASPIRE 1,ACER,ASPIRE 1,2026-07,2026-07,Vivobook Go,,,,,False,,,,,,,,
SAMSUNG GALAXY BOOK Core 7 GMA,SAMSUNG,GALAXY BOOK,2026-07,2026-07,Vivobook S,Core 7,GMA,16 GB,156.46298,True,NB,SAMSUNG,GALAXY BOOK,Core 7,GMA,15.69546,8.8,
LENOVO IDEAPAD 5 Ryzen 7 AMD Oth.,LENOVO,IDEAPAD 5,2026-07,2026-07,Vivobook S,Ryzen 7,AMD Oth.,16 GB,88.0,False,NB,LENOVO,IDEAPAD 5,Ryzen 7,AMD Oth.,88.20698,5.76,
HP OMNIBOOK 5 Ryzen 7 AI AMD Oth.,HP,OMNIBOOK 5,2026-07,2026-07,Vivobook S,Ryzen 7 AI,AMD Oth.,16 GB,81.24234,True,NB,HP,OMNIBOOK 5,Ryzen 7 AI,AMD Oth.,32.57828,18.26,
