GfK_Key,Week,Average_Price,Date
ACER NITRO V Ryzen 7 RTX 4050,15,1104.45,2026-04-05
ACER NITRO V Ryzen 7 RTX 4050,16,1104.45,2026-04-12
ACER NITRO V Ryzen 7 RTX 4050,17,1114.77,2026-04-19
ACER NITRO V Ryzen 7 RTX 4050,18,1199.0,2026-04-26
ACER NITRO V Ryzen 7 RTX 4050,19,1199.0,2026-05-03
ACER NITRO V Ryzen 7 RTX 4050,20,1199.0,2026-05-10
ACER NITRO V Ryzen 7 RTX 4050,21,1199.0,2026-05-17
ACER NITRO V Ryzen 7 RTX 4050,22,1199.0,2026-05-24
ACER NITRO V Ryzen 7 RTX 4050,23,1199.0,2026-05-31
ACER NITRO V Ryzen 7 RTX 4050,24,1199.99,2026-06-07
ACER NITRO V Ryzen 7 RTX 4050,25,1199.99,2026-06-14
ACER NITRO V Ryzen 7 RTX 4050,26,1199.99,2026-06-21
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,15,1877.48,2026-04-05
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,16,1954.917857142857,2026-04-12
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,17,1858.256,2026-04-19
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,18,1944.564285714286,2026-04-26
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,19,1985.9950000000001,2026-05-03
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,20,2079.0113333333334,2026-05-10
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,21,2037.3953333333334,2026-05-17
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,22,2121.33,2026-05-24
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,23,2257.664166666667,2026-05-31
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,24,2197.197,2026-06-07
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,25,2101.24,2026-06-14
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,26,2199.99,2026-06-21
APPLE MACBOOK AIR Apple M Apple I GPU,15,1099.4865384615384,2026-04-05
APPLE MACBOOK AIR Apple M Apple I GPU,16,1102.1869863013699,2026-04-12
APPLE MACBOOK AIR Apple M Apple I GPU,17,1096.3244295302013,2026-04-19
APPLE MACBOOK AIR Apple M Apple I GPU,18,1113.0432191780822,2026-04-26
APPLE MACBOOK AIR Apple M Apple I GPU,19,1118.0822758620689,2026-05-03
APPLE MACBOOK AIR Apple M Apple I GPU,20,1129.8085135135136,2026-05-10
APPLE MACBOOK AIR Apple M Apple I GPU,21,1105.2843884892086,2026-05-17
APPLE MACBOOK AIR Apple M Apple I GPU,22,1082.330731707317,2026-05-24
APPLE MACBOOK AIR Apple M Apple I GPU,23,1087.7644186046512,2026-05-31
APPLE MACBOOK AIR Apple M Apple I GPU,24,1067.7430769230768,2026-06-07
APPLE MACBOOK AIR Apple M Apple I GPU,25,1120.88546875,2026-06-14
APPLE MACBOOK AIR Apple M Apple I GPU,26,1099.0098148148147,2026-06-21
APPLE MACBOOK NEO Apple A zthers,15,649.1644444444445,2026-04-05
APPLE MACBOOK NEO Apple A zthers,16,648.4191111111111,2026-04-12
APPLE MACBOOK NEO Apple A zthers,17,648.2188888888888,2026-04-19
APPLE MACBOOK NEO Apple A zthers,18,647.8579069767442,2026-04-26
APPLE MACBOOK NEO Apple A zthers,19,647.8866666666667,2026-05-03
APPLE MACBOOK NEO Apple A zthers,20,648.9772916666667,2026-05-10
APPLE MACBOOK NEO Apple A zthers,21,644.5806329113924,2026-05-17
APPLE MACBOOK NEO Apple A zthers,22,645.1525641025642,2026-05-24
APPLE MACBOOK NEO Apple A zthers,23,644.4532467532467,2026-05-31
APPLE MACBOOK NEO Apple A zthers,24,643.7007462686566,2026-06-07
APPLE MACBOOK NEO Apple A zthers,25,644.9532857142858,2026-06-14
APPLE MACBOOK NEO Apple A zthers,26,647.8147826086956,2026-06-21
APPLE MACBOOK PRO Apple M Apple I GPU,15,2504.8811578947366,2026-04-05
APPLE MACBOOK PRO Apple M Apple I GPU,16,2473.7205376344086,2026-04-12
APPLE MACBOOK PRO Apple M Apple I GPU,17,2450.669569892473,2026-04-19
APPLE MACBOOK PRO Apple M Apple I GPU,18,2478.681868131868,2026-04-26
APPLE MACBOOK PRO Apple M Apple I GPU,19,2484.27414893617,2026-05-03
APPLE MACBOOK PRO Apple M Apple I GPU,20,2410.5257303370786,2026-05-10
APPLE MACBOOK PRO Apple M Apple I GPU,21,2437.4683529411764,2026-05-17
APPLE MACBOOK PRO Apple M Apple I GPU,22,2406.7272916666666,2026-05-24
APPLE MACBOOK PRO Apple M Apple I GPU,23,2411.85,2026-05-31
APPLE MACBOOK PRO Apple M Apple I GPU,24,2425.563695652174,2026-06-07
APPLE MACBOOK PRO Apple M Apple I GPU,25,2348.602745098039,2026-06-14
APPLE MACBOOK PRO Apple M Apple I GPU,26,2232.32125,2026-06-21
ASUS PROART Ryzen 9 AI RTX 5070,15,2643.3233333333333,2026-04-05
ASUS PROART Ryzen 9 AI RTX 5070,16,2643.3233333333333,2026-04-12
ASUS PROART Ryzen 9 AI RTX 5070,17,2933.3233333333333,2026-04-19
ASUS PROART Ryzen 9 AI RTX 5070,18,2975.9966666666664,2026-04-26
ASUS PROART Ryzen 9 AI RTX 5070,19,2989.7475,2026-05-03
ASUS PROART Ryzen 9 AI RTX 5070,20,2989.7475,2026-05-10
ASUS PROART Ryzen 9 AI RTX 5070,21,2957.2475,2026-05-17
ASUS PROART Ryzen 9 AI RTX 5070,22,2957.2475,2026-05-24
ASUS PROART Ryzen 9 AI RTX 5070,23,2957.2475,2026-05-31
ASUS PROART Ryzen 9 AI RTX 5070,24,2957.2475,2026-06-07
ASUS PROART Ryzen 9 AI RTX 5070,25,2933.3233333333333,2026-06-14
ASUS PROART Ryzen 9 AI RTX 5070,26,3999.99,2026-06-21
ASUS ROG FLOW Ryzen AI Max+ AMD Oth.,21,2384.25,2026-05-17
ASUS ROG FLOW Ryzen AI Max+ AMD Oth.,22,2459.8571428571427,2026-05-24
ASUS ROG STRIX Ryzen 9 RTX 5070,15,1852.4350000000002,2026-04-05
ASUS ROG STRIX Ryzen 9 RTX 5070,16,1846.516,2026-04-12
ASUS ROG STRIX Ryzen 9 RTX 5070,17,1930.7746153846153,2026-04-19
